titles,links,descriptions,Dates,authors
"Operation SpecTor: $53.4 Million Seized, 288 Vendors Arrested in Dark Web Drug Bust",https://thehackernews.com/2023/05/operation-spector-534-million-seized.html," An international law enforcement operation has resulted in the arrest of 288 vendors who are believed to be involved in drug trafficking on the dark web, adding to a long list of  criminal enterprises  that have been shuttered in recent years. The effort, codenamed Operation SpecTor , also saw the authorities confiscating more than $53.4 million in cash and virtual currencies, 850 kg of drugs, and 117 firearms. The largest number of arrests were made in the U.S. (153), followed by the U.K. (55), Germany (52), the Netherlands (10), Austria (9), France (5), Switzerland (2), Poland (1), and Brazil (1). ""This represents the most funds seized and the highest number of arrests in any coordinated international action,"" U.S. Attorney General Merrick B. Garland  said . ""The drug traffickers are confident that, by operating anonymously on the dark web, they can operate outside the bounds of the law. They are wrong."" The arrests stem from evidence gathered after the  tak","May 03, 2023",Dark Web / Cyber Crime
Download the eBook: What Does it Take to be a Full-Fledged Virtual CISO?,https://thehackernews.com/2023/05/download-ebook-what-does-it-take-to-be.html," Almost half of MSP clients fell victim to a cyberattack within the last 12 months. In the SMB world, the danger is especially acute as only 50% of SMBs have a dedicated internal IT person to take care of cybersecurity. No wonder cybercriminals are targeting SMBs so heavily. No wonder SMBs are increasingly willing to pay a subscription or retainer to gain access to expert C-level cyber-assistance in devising and implementing strategies to prevent breaches, reduce risk, and mitigate the consequences of attacks. Hence the popularity of Virtual Chief Information Security Officer (vCISO) services. They are especially attractive to MSPs and MSSPs as:  They enable service providers to address a growing need from their SMB clients for proactive cyber resilience  They offer the potential to grow recurring revenues - expand into a new customer base or sell a new service to existing customers They help service providers differentiate themselves They are an excellent vehicle from which to u","May 03, 2023",CISO / Cybersecurity
Apple and Google Join Forces to Stop Unauthorized Location-Tracking Devices,https://thehackernews.com/2023/05/apple-and-google-join-forces-to-stop.html," Apple and Google have  teamed up  to work on a  draft industry-wide specification  that's designed to tackle safety risks and alert users when they are being tracked without their knowledge or permission using devices like AirTags. ""The first-of-its-kind specification will allow Bluetooth location-tracking devices to be compatible with unauthorized tracking detection and alerts across Android and iOS platforms,"" the companies said in a joint statement. While these trackers are primarily designed to keep tabs on personal belongings like keys, wallets, luggage, and other items, such devices have also been abused by bad actors for  criminal or nefarious purposes , including instances of  stalking, harassment, and theft . The goal is to standardize the alerting mechanisms and minimize opportunities for misuse across Bluetooth location-tracking devices from different vendors. To that end, Samsung, Tile, Chipolo, eufy Security, and Pebblebee have all come on board. In doi","May 03, 2023",Privacy / Technology
Hackers Exploiting 5-year-old Unpatched Vulnerability in TBK DVR Devices,https://thehackernews.com/2023/05/hackers-exploiting-5-year-old-unpatched.html," Threat actors are actively exploiting an unpatched five-year-old flaw impacting TBK digital video recording (DVR) devices, according to an advisory issued by Fortinet FortiGuard Labs. The vulnerability in question is  CVE-2018-9995  (CVSS score: 9.8), a critical authentication bypass issue that could be exploited by remote actors to gain elevated permissions. ""The 5-year-old vulnerability (CVE-2018-9995) is due to an error when handling a maliciously crafted HTTP cookie,"" Fortinet  said  in an outbreak alert on May 1, 2023. ""A remote attacker may be able to exploit this flaw to bypass authentication and obtain administrative privileges eventually leading access to camera video feeds."" The network security company said it observed over 50,000 attempts to exploit TBK DVR devices using the flaw in the month of April 2023. Despite the availability of a proof-of-concept ( PoC ) exploit, there are no fixes that address the vulnerability. The flaw impacts TBK DVR4104","May 03, 2023",Surveillance / Vulnerability
CISA Issues Advisory on Critical RCE Affecting ME RTU Remote Terminal Units,https://thehackernews.com/2023/05/cisa-issues-advisory-on-critical-rce.html," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Tuesday  released  an Industrial Control Systems (ICS) advisory about a critical flaw affecting ME RTU remote terminal units. The security vulnerability, tracked as  CVE-2023-2131 , has received the highest severity rating of 10.0 on the CVSS scoring system for its low attack complexity. ""Successful exploitation of this vulnerability could allow remote code execution,"" CISA  said , describing it as a case of command injection affecting versions of INEA ME RTU firmware prior to  version 3.36 . Security researcher Floris Hendriks of Radboud University has been credited with reporting the issue to CISA. Also published by CISA is an  alert  related to multiple known security holes in Intel(R) processors impacting Factory Automation (FA) products from Mitsubishi Electric that could result in privilege escalation and a denial-of-service (DoS) condition. The development comes as the agency  recommended  criti",[],ICS/SCADA Security
Researchers Uncover New BGP Flaws in Popular Internet Routing Protocol Software,https://thehackernews.com/2023/05/researchers-uncover-new-bgp-flaws-in.html," Cybersecurity researchers have uncovered weaknesses in a software implementation of the Border Gateway Protocol (BGP) that could be weaponized to achieve a denial-of-service (DoS) condition on vulnerable BGP peers. The three vulnerabilities reside in version 8.4 of  FRRouting , a popular open source internet routing protocol suite for Linux and Unix platforms. It's currently used by several vendors like  NVIDIA Cumulus ,  DENT , and  SONiC , posing supply chain risks. The discovery is the result of an analysis of seven different implementations of BGP carried out by Forescout Vedere Labs: FRRouting, BIRD, OpenBGPd, Mikrotik RouterOS, Juniper JunOS, Cisco IOS, and Arista EOS. BGP is a  gateway protocol  that's designed to exchange routing and reachability information between autonomous systems. It's used to find the most efficient routes for delivering internet traffic. The list of three flaws is as follows - CVE-2022-40302  (CVSS score: 6.5) - Out-of-bounds read whe","May 02, 2023",Network Security / Vulnerability
BouldSpy Android Spyware: Iranian Government's Alleged Tool for Spying on Minority Groups,https://thehackernews.com/2023/05/bouldspy-android-spyware-iranian.html," A new Android surveillanceware possibly used by the Iranian government has been used to spy on over 300 individuals belonging to minority groups. The malware, dubbed  BouldSpy , has been attributed with moderate confidence to the Law Enforcement Command of the Islamic Republic of Iran ( FARAJA ). Targeted victims include Iranian Kurds, Baluchis, Azeris, and Armenian Christian groups. ""The spyware may also have been used in efforts to counter and monitor illegal trafficking activity related to arms, drugs, and alcohol,"" Lookout  said , based on exfiltrated data that contained photos of drugs, firearms, and official documents issued by FARAJA.  BouldSpy, like other Android malware families, abuses its access to Android's accessibility services and other intrusive permissions to harvest sensitive data such as web browser history, photos, contact lists, SMS logs, keystrokes, screenshots, clipboard content, microphone audio, and video call recordings. It's worth poin","May 02, 2023",Mobile Security / Spyware
eBook: 3 Steps to Implement Zero Trust Access,https://thn.news/cyolo-newsfeed,"Streamline your zero-trust access journey with three simple steps for high-risk, remote, and hybrid users.","May 02, 2023",Zero Trust Security
Why Telecoms Struggle with SaaS Security,https://thehackernews.com/2023/05/why-telecoms-struggle-with-saas-security.html," The telecom industry has always been a tantalizing target for cybercriminals. The combination of interconnected networks, customer data, and sensitive information allows cybercriminals to inflict maximum damage through minimal effort. It's the breaches in telecom companies that tend to have a seismic impact and far-reaching implications — in addition to reputational damage, which can be difficult to measure, telecoms are often at the receiving end of government fines for their cybersecurity and privacy failures. There are few industries in the world that collect as much sensitive data as telecom companies. In recent years, telecom companies have accelerated their digital transformation, shedding legacy systems and reducing costs. These changes, coupled with the need for stronger collaboration with third-party vendors, have led them to SaaS applications to handle their CRM. Today, telecoms are using SaaS apps for billing, HR, call management, field operations management, tracking ca","May 02, 2023",SaaS Security
"LOBSHOT: A Stealthy, Financial Trojan and Info Stealer Delivered through Google Ads",https://thehackernews.com/2023/05/lobshot-stealthy-financial-trojan-and.html," In yet another instance of how threat actors are abusing Google Ads to serve malware, a threat actor has been observed leveraging the technique to deliver a new Windows-based financial trojan and information stealer called LOBSHOT . ""LOBSHOT continues to collect victims while staying under the radar,"" Elastic Security Labs researcher Daniel Stepanic said in an analysis published last week. ""One of LOBSHOT's core capabilities is around its hVNC (Hidden Virtual Network Computing) component. These kinds of modules allow for direct and unobserved access to the machine."" The American-Dutch company attributed the malware strain to a threat actor known as  TA505  based on infrastructure historically connected to the group. TA505 is a financially motivated e-crime syndicate that overlaps with  activity clusters  tracked under the names Evil Corp, FIN11, and Indrik Spider. The latest development is significant because it's a sign that TA505, which is associate","May 02, 2023",Malvertising / Cyber Threat
North Korea's ScarCruft Deploys RokRAT Malware via LNK File Infection Chains,https://thehackernews.com/2023/05/north-koreas-scarcruft-deploys-rokrat.html," The North Korean threat actor known as  ScarCruft  started experimenting with oversized LNK files as a delivery route for RokRAT malware as early as July 2022, the same month Microsoft  began blocking macros  across Office documents by default. ""RokRAT has not changed significantly over the years, but its deployment methods have evolved, now utilizing archives containing LNK files that initiate multi-stage infection chains,"" Check Point  said  in a new technical report. ""This is another representation of a major trend in the threat landscape, where APTs and cybercriminals alike attempt to overcome the blocking of macros from untrusted sources."" ScarCruft , also known by the names APT37, InkySquid, Nickel Foxcroft, Reaper, RedEyes, and Ricochet Chollima, is a threat group that almost exclusively targets South Korean individuals and entities as part of spear-phishing attacks designed to deliver an array of custom tools. The adversarial collective, unlike the  La","May 02, 2023",Threat Intelligence
"Alert: Active Exploitation of TP-Link, Apache, and Oracle Vulnerabilities Detected",https://thehackernews.com/2023/05/active-exploitation-of-tp-link-apache.html," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) has  added  three flaws to the Known Exploited Vulnerabilities (KEV) catalog, based on evidence of active exploitation. The security vulnerabilities are as follows - CVE-2023-1389  (CVSS score: 8.8) - TP-Link Archer AX-21 Command Injection Vulnerability CVE-2021-45046  (CVSS score: 9.0) - Apache Log4j2 Deserialization of Untrusted Data Vulnerability CVE-2023-21839  (CVSS score: 7.5) - Oracle WebLogic Server Unspecified Vulnerability CVE-2023-1389 concerns a case of command injection affecting TP-Link Archer AX-21 routers that could be exploited to achieve remote code execution. According to Trend Micro's Zero Day Initiative, the flaw has been  put to use  by threat actors associated with the Mirai botnet since April 11, 2023. The second flaw to be added to the KEV catalog is CVE-2021-45046, a remote code execution affecting the Apache Log4j2 logging library that  came to light  in December 2021. It's cu","May 01, 2023",Vulnerability / Cyber Threat
New Decoy Dog Malware Toolkit Uncovered: Targeting Enterprise Networks,https://thehackernews.com/2023/05/new-decoy-dog-malware-toolkit-uncovered.html," An analysis of over 70 billion DNS records has led to the discovery of a new sophisticated malware toolkit dubbed  Decoy Dog  targeting enterprise networks. Decoy Dog , as the name implies, is evasive and employs techniques like strategic domain aging and DNS query dribbling, wherein a series of queries are transmitted to the command-and-control (C2) domains so as to not arouse any suspicion. ""Decoy Dog is a cohesive toolkit with a number of highly unusual characteristics that make it uniquely identifiable, particularly when examining its domains on a DNS level,"" Infoblox  said  in an advisory published late last month. The cybersecurity firm, which identified the malware in early April 2023 following anomalous DNS beaconing activity, said its atypical characteristics allowed it to map additional domains that are part of the attack infrastructure. That said, the usage of Decoy Dog in the wild is ""very rare,"" with the DNS signature matching less than 0.0000027%","May 01, 2023",Cyber Threat / Authentication
Wanted Dead or Alive: Real-Time Protection Against Lateral Movement,https://thehackernews.com/2023/05/wanted-dead-or-alive-real-time.html," Just a few short years ago, lateral movement was a tactic confined to top APT cybercrime organizations and nation-state operators. Today, however, it has become a commoditized tool, well within the skillset of any ransomware threat actor. This makes real-time detection and prevention of lateral movement a necessity to organizations of all sizes and across all industries. But the disturbing truth is that there is actually no tool in the current security stack that can provide this real-time protection, creating what is arguably the most critical security weakness in an organization's security architecture.  In this article, we'll walk through the most essentials questions around the challenge of lateral movement protection, understand why multifactor authentication (MFA) and service account protection are the gaps that make it possible, and learn how Silverfort's platform turns the tables on attackers and makes lateral movement protection finally within reach. Upcoming We","May 01, 2023",Malverposting / Scam
"Vietnamese Threat Actor Infects 500,000 Devices Using 'Malverposting' Tactics",https://thehackernews.com/2023/05/vietnamese-threat-actor-infects-500000.html," A Vietnamese threat actor has been attributed as behind a ""malverposting"" campaign on social media platforms to infect over 500,000 devices worldwide over the past three months to deliver variants of information stealers such as  S1deload Stealer  and  SYS01stealer . Malverposting refers to the use of promoted social media posts on services like Facebook and Twitter to mass propagate malicious software and other security threats. The idea is to reach a broader audience by paying for ads to ""amplify"" their posts. According to  Guardio Labs , such attacks commence with the adversary creating new business profiles and hijacking already popular accounts to serve ads that claim to offer free adult-rated photo album downloads. Within these ZIP archive files are purported images that are actually executable files, which, when clicked, activate the infection chain and ultimately deploy the stealer malware to siphon session cookies, account data, and other information. ",[],[]
"APT28 Targets Ukrainian Government Entities with Fake ""Windows Update"" Emails",https://thehackernews.com/2023/05/apt28-targets-ukrainian-government.html," The Computer Emergency Response Team of Ukraine (CERT-UA) has warned of cyber attacks perpetrated by Russian nation-state hackers targeting various government bodies in the country. The agency  attributed  the phishing campaign to APT28, which is also known by the names Fancy Bear, Forest Blizzard, FROZENLAKE, Iron Twilight, Sednit, and Sofacy. The email messages come with the subject line ""Windows Update"" and purportedly contain instructions in the Ukrainian language to run a PowerShell command under the pretext of security updates. Running the script loads and executes a next-stage PowerShell script that's designed to collect basic system information through commands like  tasklist  and  systeminfo , and exfiltrate the details via an HTTP request to a  Mocky API . To trick the targets into running the command, the emails impersonate system administrators of the targeted government entities using fake Microsoft Outlook email accounts created with the employees'","May 01, 2023",Threat Analysis / Cyber Attack
"Google Blocks 1.43 Million Malicious Apps, Bans 173,000 Bad Accounts in 2022",https://thehackernews.com/2023/05/google-blocks-143-million-malicious.html," Google disclosed that its improved security features and app review processes helped it block 1.43 million bad apps from being published to the Play Store in 2022. In addition, the company said it banned 173,000 bad accounts and fended off over $2 billion in fraudulent and abusive transactions through  developer-facing features  like Voided Purchases API, Obfuscated Account ID, and Play Integrity API. The addition of identity verification methods such as phone number and email address to join Google Play contributed to a reduction in accounts used to publish apps that go against its policies, Google pointed out. The search behemoth further said it ""prevented about 500K submitted apps from unnecessarily accessing sensitive permissions over the past 3 years."" ""In 2022, the  App Security Improvements program  helped developers fix ~500K security weaknesses affecting ~300K apps with a combined install base of approximately 250B installs,"" it  noted . In contrast,","May 01, 2023",Mobile Security / Android
eBook: 3 Steps to Implement Zero Trust Access,https://thn.news/cyolo-newsfeed,"Streamline your zero-trust access journey with three simple steps for high-risk, remote, and hybrid users.","Apr 29, 2023",Zero Trust Security
CISA Warns of Critical Flaws in Illumina's DNA Sequencing Instruments,https://thehackernews.com/2023/04/cisa-warns-of-critical-flaws-in.html," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) has released an Industrial Control Systems (ICS) medical advisory warning of a critical flaw impacting Illumina medical devices. The issues impact the Universal Copy Service (UCS) software in the Illumina MiSeqDx, NextSeq 550Dx, iScan, iSeq 100, MiniSeq, MiSeq, NextSeq 500, NextSeq 550, NextSeq 1000/2000, and NovaSeq 6000 DNA sequencing instruments. The most severe of the flaws, CVE-2023-1968 (CVSS score: 10.0), permits remote attackers to bind to exposed IP addresses, thereby making it possible to eavesdrop on network traffic and remotely transmit arbitrary commands. The second issue relates to a case of privilege misconfiguration (CVE-2023-1966, CVSS score: 7.4) that could enable a remote unauthenticated malicious actor to upload and execute code with elevated permissions. ""Successful exploitation of these vulnerabilities could allow an attacker to take any action at the operating system level,"" CISA  sa","Apr 29, 2023",Healthcare / Cybersecurity
ChatGPT is Back in Italy After Addressing Data Privacy Concerns,https://thehackernews.com/2023/04/chatgpt-is-back-in-italy-after.html," OpenAI, the company behind ChatGPT, has officially made a return to Italy after the company met the  data protection authority's demands  ahead of April 30, 2023, deadline. The development was  first reported  by the Associated Press. OpenAI's CEO, Sam Altman,  tweeted , ""we're excited ChatGPT is available in [Italy] again!"" The reinstatement comes following Garante's decision to  temporarily block  access to the popular AI chatbot service in Italy on March 31, 2023, over concerns that its practices are in violation of data protection laws in the region. Generative AI systems like ChatGPT and Google Bard primarily rely on huge amounts of information freely available on the internet as well as the data its users provide over the course of their interactions. OpenAI, which published a  new FAQ , said it filters and removes information such as hate speech, adult content, sites that primarily aggregate personal information, and spam. It also emphasized that","Apr 28, 2023",Data Safety / Privacy / AI 
New Atomic macOS Malware Steals Keychain Passwords and Crypto Wallets,https://thehackernews.com/2023/04/new-atomic-macos-stealer-can-steal-your.html," Threat actors are advertising a new information stealer for the Apple macOS operating system called  Atomic macOS Stealer  (or AMOS) on Telegram for $1,000 per month, joining the likes of  MacStealer . ""The Atomic macOS Stealer can steal various types of information from the victim's machine, including Keychain passwords, complete system information, files from the desktop and documents folder, and even the macOS password,"" Cyble researchers  said  in a technical report. Among other features include its ability to extract data from web browsers and cryptocurrency wallets like Atomic, Binance, Coinomi, Electrum, and Exodus. Threat actors who purchase the stealer from its developers are also provided a ready-to-use web panel for managing the victims. The malware takes the form of an unsigned disk image file (Setup.dmg) that, when executed, urges the victim to enter their system password on a bogus prompt to escalate privileges and carry out its malicious activities -- ","Apr 28, 2023",Endpoint Security / Cryptocurrency
Why Your Detection-First Security Approach Isn't Working,https://thehackernews.com/2023/04/why-your-detection-first-security.html," Stopping new and evasive threats is one of the greatest challenges in cybersecurity. This is among the biggest reasons why  attacks increased dramatically in the past year  yet again, despite the estimated $172 billion spent on global cybersecurity in 2022. Armed with cloud-based tools and backed by sophisticated affiliate networks, threat actors can develop new and evasive malware more quickly than organizations can update their protections.  Relying on malware signatures and blocklists against these rapidly changing attacks has become futile. As a result, the SOC toolkit now largely revolves around threat detection and investigation. If an attacker can bypass your initial blocks, you expect your tools to pick them up at some point in the attack chain. Every organization's digital architecture is now seeded with security controls that log anything potentially malicious. Security analysts pore through these logs and determine what to investigate further. Does this work? Let'","Apr 28, 2023",Endpoint Detection and Response
Zyxel Firewall Devices Vulnerable to Remote Code Execution Attacks — Patch Now,https://thehackernews.com/2023/04/zyxel-firewall-devices-vulnerable-to.html," Networking equipment maker Zyxel has released patches for a critical security flaw in its firewall devices that could be exploited to achieve remote code execution on affected systems. The issue, tracked as  CVE-2023-28771 , is rated 9.8 on the CVSS scoring system. Researchers from TRAPA Security have been credited with reporting the flaw. ""Improper error message handling in some firewall versions could allow an unauthenticated attacker to execute some OS commands remotely by sending crafted packets to an affected device,"" Zyxel  said  in an advisory on April 25, 2023. Products impacted by the flaw are - ATP (versions ZLD V4.60 to V5.35, patched in ZLD V5.36) USG FLEX (versions ZLD V4.60 to V5.35, patched in ZLD V5.36) VPN (versions ZLD V4.60 to V5.35, patched in ZLD V5.36), and ZyWALL/USG (versions ZLD V4.60 to V4.73, patched in ZLD V4.73 Patch 1) Zyxel has also  addressed  a high-severity post-authentication command injection vulnerability affecting select firewa","Apr 28, 2023",Network Security / Vulnerability
ViperSoftX InfoStealer Adopts Sophisticated Techniques to Avoid Detection,https://thehackernews.com/2023/04/vipersoftx-infostealer-adopts.html," A significant number of victims in the consumer and enterprise sectors located across Australia, Japan, the U.S., and India have been affected by an evasive information-stealing malware called  ViperSoftX . ViperSoftX was first documented by Fortinet in 2020, with cybersecurity company Avast detailing a campaign in November 2022 that  leveraged  the malware to distribute a malicious Google Chrome extension capable of siphoning cryptocurrencies from wallet applications. Now a  new analysis  from Trend Micro has revealed the malware's adoption of ""more sophisticated encryption and basic anti-analysis techniques, such as byte remapping and web browser communication blocking."" The arrival vector of ViperSoftX is typically a software crack or a key generator (keygen), while also employing actual non-malicious software like multimedia editors and system cleaner apps as ""carriers."" One of the key steps performed by the malware before downloading a first-stage Po","Apr 28, 2023",Data Security / Malware
"Attention Online Shoppers: Don't Be Fooled by Their Sleek, Modern Looks — It's Magecart!",https://thehackernews.com/2023/04/attention-online-shoppers-dont-be.html," An ongoing  Magecart  campaign has attracted the attention of cybersecurity researchers for leveraging realistic-looking fake payment screens to capture sensitive data entered by unsuspecting users. ""The threat actor used original logos from the compromised store and customized a web element known as a modal to perfectly hijack the checkout page,"" Jérôme Segura, director of threat intelligence at Malwarebytes,  said . ""The remarkable thing here is that the skimmer looks more authentic than the original payment page."" The term  Magecart  is a catch-all that refers to several cybercrime groups which employ online skimming techniques to steal personal data from websites – most commonly, customer details and payment information on e-commerce websites. The name originates from the groups' initial targeting of the Magento platform. According to  data  shared by Sansec, the first Magecart-like attacks were observed as early as 2010. As of 2022, more than 70,000 sto",[],Online Security / Website Hacking
